"price"	"totsp"	"livesp"	"kitsp"	"dist"	"metrdist"
115 	 58 	 41 	 5 	 7.5 	 7
95 	 58 	 42 	 6 	 7.5 	 15
100 	 60 	 39 	 6 	 17.0 	 5
87 	 60 	 43 	 6 	 13.5 	 10
225 	 80 	 56 	 9 	 9.0 	 5
125 	 75 	 53 	 8 	 11.0 	 3
80 	 68 	 42 	 8 	 13.5 	 7
95 	 63 	 42 	 8 	 3.5 	 5
86 	 50 	 34 	 6 	 12.0 	 10
110 	 77 	 45 	 10 	 12.0 	 10
170 	 86 	 59 	 10 	 17.0 	 10
79 	 51 	 34 	 6 	 13.5 	 10
160 	 90 	 60 	 12 	 12.7 	 1
126 	 74 	 43 	 10 	 12.5 	 3
113 	 70 	 50 	 9 	 6.0 	 10
88 	 60 	 40 	 5 	 7.0 	 7
145 	 80 	 53 	 9 	 6.0 	 2
85 	 60 	 43 	 7 	 12.0 	 5
150 	 108 	 56 	 15 	 11.0 	 5
128 	 70 	 42 	 6 	 14.5 	 3
103 	 63 	 38 	 8 	 10.5 	 10
135 	 77 	 47 	 10 	 13.5 	 10
133 	 75 	 48 	 9 	 3.0 	 12
160 	 92 	 69 	 14 	 4.5 	 10
93 	 67 	 47 	 6 	 12.0 	 5
89 	 64 	 39 	 8 	 14.5 	 5
120 	 76 	 45 	 10 	 12.0 	 10
84 	 60 	 43 	 6 	 14.5 	 5
130 	 72 	 47 	 10 	 13.5 	 7
170 	 98 	 73 	 12 	 6.0 	 1
190 	 73 	 41 	 11 	 3.5 	 1
135 	 81 	 53 	 8 	 11.5 	 4
75 	 53 	 35 	 7 	 11.5 	 5
95 	 64 	 45 	 6 	 14.5 	 10
350 	 90 	 62 	 12 	 10.5 	 5
129 	 80 	 48 	 10 	 12.7 	 7
80 	 56 	 38 	 5 	 11.5 	 10
135 	 78 	 44 	 11 	 12.7 	 10
135 	 68 	 32 	 13 	 3.0 	 10
142 	 90 	 51 	 12 	 12.0 	 10
74 	 51 	 35 	 6 	 13.5 	 10
110 	 63 	 43 	 9 	 15.5 	 3
80 	 61 	 44 	 7 	 12.0 	 5
145 	 75 	 53 	 9 	 8.0 	 15
99 	 66 	 41 	 8 	 13.5 	 15
145 	 76 	 44 	 24 	 12.7 	 2
130 	 78 	 51 	 8 	 10.5 	 10
112 	 67 	 38 	 7 	 10.5 	 10
190 	 87 	 62 	 10 	 4.5 	 5
115 	 76 	 45 	 10 	 12.7 	 5
112 	 76 	 46 	 10 	 12.0 	 10
68 	 57 	 37 	 6 	 13.5 	 15
135 	 72 	 49 	 8 	 8.0 	 5
100 	 83 	 48 	 10 	 12.0 	 15
135 	 84 	 45 	 11 	 12.0 	 10
120 	 76 	 51 	 9 	 13.5 	 5
120 	 79 	 44 	 10 	 13.0 	 3
95 	 57 	 41 	 6 	 4.5 	 7
123 	 85 	 51 	 10 	 12.7 	 3
95 	 51 	 34 	 6 	 12.0 	 5
85 	 59 	 42 	 6 	 10.5 	 7
110 	 69 	 44 	 10 	 12.0 	 5
230 	 80 	 46 	 13 	 5.0 	 4
105 	 57 	 40 	 6 	 4.5 	 5
85 	 59 	 45 	 6 	 12.0 	 5
105 	 66 	 44 	 7 	 3.5 	 10
115 	 78 	 46 	 10 	 12.7 	 3
122 	 64 	 46 	 8 	 12.5 	 7
114 	 79 	 45 	 13 	 14.5 	 7
215 	 86 	 58 	 12 	 3.0 	 5
155 	 85 	 47 	 11 	 12.7 	 5
92 	 60 	 45 	 6 	 9.0 	 7
112 	 72 	 50 	 9 	 17.0 	 10
113 	 77 	 46 	 10 	 13.0 	 15
195 	 110 	 55 	 11 	 12.0 	 1
145 	 84 	 53 	 10 	 15.5 	 15
93 	 59 	 39 	 6 	 15.5 	 10
168 	 75 	 46 	 10 	 6.5 	 1
130 	 72 	 44 	 10 	 6.0 	 5
85 	 60 	 43 	 6 	 14.5 	 6
147 	 75 	 45 	 10 	 7.0 	 15
93 	 79 	 45 	 10 	 13.0 	 7
230 	 103 	 51 	 14 	 14.5 	 15
94 	 64 	 43 	 9 	 12.0 	 7
95 	 61 	 43 	 6 	 12.0 	 15
155 	 85 	 47 	 11 	 12.7 	 5
103 	 74 	 45 	 8 	 12.0 	 5
142 	 78 	 46 	 9 	 10.5 	 10
99 	 76 	 45 	 10 	 12.0 	 10
138 	 77 	 45 	 10 	 13.0 	 5
160 	 80 	 51 	 8 	 3.0 	 10
208 	 115 	 70 	 14 	 10.0 	 3
165 	 74 	 41 	 9 	 6.5 	 5
108 	 57 	 40 	 6 	 9.0 	 3
165 	 99 	 70 	 9 	 7.5 	 7
140 	 76 	 44 	 10 	 12.0 	 2
79 	 59 	 43 	 6 	 12.0 	 10
113 	 85 	 53 	 12 	 12.7 	 10
105 	 72 	 52 	 8 	 6.0 	 15
113 	 75 	 51 	 9 	 7.5 	 10
165 	 78 	 46 	 18 	 5.0 	 10
85 	 58 	 37 	 6 	 13.5 	 15
200 	 101 	 68 	 10 	 11.0 	 10
77 	 59 	 38 	 6 	 12.0 	 10
153 	 87 	 66 	 9 	 7.5 	 10
103 	 63 	 38 	 9 	 12.5 	 10
120 	 82 	 53 	 9 	 11.5 	 10
118 	 80 	 45 	 13 	 12.0 	 15
110 	 77 	 46 	 9 	 13.0 	 5
135 	 100 	 50 	 10 	 15.5 	 10
136 	 76 	 44 	 10 	 14.5 	 9
165 	 78 	 46 	 10 	 5.0 	 10
90 	 60 	 42 	 6 	 17.0 	 3
201 	 82 	 55 	 9 	 13.5 	 7
225 	 101 	 65 	 15 	 10.5 	 20
116 	 66 	 47 	 8 	 12.0 	 10
137 	 80 	 50 	 12 	 10.5 	 15
111 	 81 	 45 	 9 	 14.5 	 10
93 	 64 	 41 	 7 	 14.5 	 3
118 	 64 	 43 	 9 	 10.5 	 7
210 	 81 	 48 	 10 	 3.0 	 5
112 	 72 	 51 	 8 	 6.5 	 5
180 	 90 	 56 	 11 	 9.0 	 15
118 	 75 	 44 	 9 	 7.0 	 5
90 	 58 	 42 	 6 	 10.5 	 15
110 	 73 	 45 	 10 	 15.5 	 10
137 	 74 	 44 	 10 	 15.5 	 8
89 	 64 	 45 	 6 	 12.5 	 15
115 	 77 	 46 	 10 	 12.7 	 7
128 	 80 	 45 	 13 	 12.0 	 15
226 	 82 	 52 	 10 	 3.0 	 3
115 	 78 	 46 	 10 	 12.0 	 15
98 	 68 	 44 	 8 	 10.5 	 10
139 	 68 	 46 	 8 	 9.0 	 5
121 	 77 	 46 	 10 	 12.5 	 10
124 	 78 	 55 	 8 	 13.5 	 10
105 	 58 	 43 	 6 	 3.5 	 12
85 	 55 	 40 	 6 	 11.0 	 5
108 	 64 	 40 	 9 	 12.0 	 10
185 	 80 	 53 	 9 	 7.5 	 10
107 	 64 	 44 	 9 	 15.5 	 5
80 	 56 	 44 	 6 	 11.0 	 8
118 	 77 	 43 	 11 	 7.0 	 5
95 	 76 	 45 	 10 	 14.5 	 10
155 	 81 	 44 	 10 	 13.5 	 10
107 	 72 	 43 	 10 	 13.0 	 5
154 	 95 	 51 	 11 	 6.5 	 3
380 	 130 	 72 	 15 	 7.0 	 5
158 	 78 	 48 	 12 	 9.0 	 4
82 	 59 	 45 	 6 	 10.0 	 7
148 	 74 	 51 	 9 	 7.5 	 10
105 	 67 	 48 	 8 	 13.5 	 15
147 	 80 	 50 	 8 	 7.5 	 5
92 	 69 	 47 	 6 	 12.0 	 10
107 	 74 	 44 	 11 	 13.0 	 5
95 	 64 	 45 	 7 	 17.0 	 5
138 	 86 	 54 	 10 	 6.0 	 5
150 	 70 	 50 	 9 	 7.5 	 7
120 	 63 	 40 	 8 	 6.0 	 7
94 	 64 	 38 	 9 	 12.0 	 11
150 	 84 	 48 	 10 	 13.5 	 10
140 	 84 	 48 	 9 	 12.0 	 10
82 	 51 	 35 	 6 	 12.5 	 5
82 	 60 	 42 	 6 	 12.5 	 10
340 	 121 	 72 	 13 	 12.5 	 3
95 	 67 	 45 	 9 	 13.5 	 10
210 	 79 	 53 	 8 	 7.0 	 5
160 	 77 	 45 	 10 	 12.0 	 15
285 	 90 	 61 	 6 	 14.5 	 10
110 	 65 	 43 	 7 	 12.0 	 10
155 	 73 	 49 	 9 	 10.5 	 15
86 	 61 	 43 	 6 	 13.5 	 15
190 	 78 	 46 	 10 	 8.0 	 10
110 	 66 	 43 	 7 	 13.5 	 15
88 	 59 	 44 	 6 	 14.5 	 10
117 	 70 	 39 	 8 	 12.5 	 12
77 	 60 	 44 	 6 	 13.0 	 15
181 	 86 	 51 	 11 	 10.5 	 10
115 	 61 	 42 	 5 	 3.5 	 10
105 	 78 	 44 	 10 	 13.0 	 15
159 	 81 	 56 	 8 	 7.5 	 15
96 	 60 	 45 	 6 	 15.5 	 5
106 	 58 	 42 	 6 	 12.0 	 5
199 	 70 	 46 	 8 	 7.5 	 7
107 	 69 	 45 	 10 	 12.0 	 10
113 	 78 	 44 	 10 	 12.0 	 10
108 	 66 	 43 	 11 	 13.5 	 10
125 	 78 	 44 	 13 	 12.0 	 5
230 	 95 	 64 	 10 	 10.5 	 15
70 	 52 	 34 	 6 	 12.0 	 10
100 	 77 	 41 	 10 	 12.7 	 10
120 	 75 	 45 	 10 	 14.5 	 10
85 	 57 	 42 	 6 	 7.5 	 15
95 	 65 	 46 	 8 	 12.5 	 10
140 	 89 	 51 	 10 	 12.0 	 3
87 	 58 	 40 	 6 	 6.5 	 5
100 	 76 	 45 	 10 	 12.7 	 15
190 	 72 	 46 	 10 	 9.0 	 5
78 	 51 	 34 	 6 	 13.5 	 10
95 	 75 	 43 	 11 	 14.5 	 10
127 	 65 	 43 	 7 	 9.0 	 5
89 	 60 	 42 	 6 	 12.0 	 7
98 	 58 	 42 	 6 	 12.0 	 10
76 	 53 	 39 	 6 	 12.0 	 10
100 	 80 	 45 	 12 	 12.7 	 15
115 	 74 	 48 	 11 	 13.0 	 15
95 	 58 	 38 	 6 	 12.0 	 8
127 	 74 	 44 	 8 	 11.0 	 10
75 	 54 	 36 	 6 	 10.0 	 7
95 	 61 	 43 	 6 	 14.5 	 5
140 	 78 	 45 	 10 	 12.0 	 2
110 	 74 	 45 	 10 	 12.0 	 15
97 	 57 	 42 	 6 	 13.5 	 5
113 	 54 	 34 	 11 	 3.0 	 10
110 	 66 	 45 	 10 	 11.5 	 10
125 	 62 	 40 	 8 	 12.5 	 5
116 	 75 	 51 	 9 	 3.5 	 5
80 	 50 	 34 	 6 	 12.0 	 5
150 	 112 	 64 	 16 	 14.5 	 5
113 	 75 	 45 	 10 	 13.0 	 10
124 	 96 	 52 	 10 	 13.5 	 5
110 	 65 	 39 	 9 	 12.5 	 2
156 	 83 	 55 	 9 	 10.5 	 10
95 	 62 	 43 	 7 	 12.0 	 7
150 	 76 	 50 	 8 	 9.0 	 7
101 	 59 	 44 	 6 	 17.0 	 10
112 	 75 	 45 	 10 	 12.0 	 7
93 	 70 	 40 	 10 	 12.0 	 10
133 	 65 	 47 	 8 	 12.5 	 5
118 	 78 	 46 	 10 	 13.5 	 10
150 	 69 	 46 	 8 	 7.5 	 7
87 	 54 	 34 	 6 	 17.0 	 1
130 	 83 	 50 	 9 	 6.5 	 10
84 	 62 	 44 	 7 	 14.5 	 10
252 	 132 	 74 	 23 	 12.5 	 3
78 	 58 	 37 	 6 	 12.0 	 10
85 	 55 	 35 	 6 	 12.0 	 10
215 	 90 	 61 	 9 	 9.0 	 1
195 	 83 	 55 	 9 	 9.0 	 3
371 	 128 	 70 	 18 	 7.0 	 5
96 	 60 	 45 	 6 	 12.0 	 10
98 	 64 	 43 	 7 	 12.0 	 15
185 	 99 	 67 	 9 	 9.0 	 10
90 	 55 	 36 	 6 	 12.5 	 10
136 	 78 	 45 	 10 	 12.0 	 10
180 	 78 	 52 	 8 	 9.0 	 1
91 	 60 	 45 	 6 	 10.5 	 5
145 	 62 	 41 	 9 	 9.0 	 5
88 	 60 	 44 	 6 	 13.5 	 10
102 	 64 	 47 	 6 	 17.0 	 10
175 	 112 	 78 	 16 	 7.0 	 10
185 	 86 	 47 	 8 	 3.0 	 3
100 	 78 	 45 	 10 	 13.0 	 7
115 	 65 	 47 	 8 	 13.5 	 3
95 	 54 	 36 	 5 	 3.5 	 15
150 	 75 	 46 	 11 	 9.0 	 15
124 	 77 	 44 	 10 	 14.5 	 5
142 	 77 	 44 	 10 	 7.0 	 10
92 	 65 	 45 	 7 	 12.5 	 5
90 	 63 	 44 	 6 	 17.0 	 5
108 	 81 	 48 	 8 	 13.0 	 15
130 	 56 	 41 	 6 	 9.0 	 5
138 	 86 	 50 	 10 	 13.5 	 10
126 	 83 	 50 	 9 	 14.5 	 15
180 	 83 	 58 	 10 	 3.0 	 10
120 	 65 	 38 	 7 	 11.0 	 10
95 	 60 	 43 	 6 	 9.0 	 5
93 	 64 	 45 	 7 	 14.5 	 3
110 	 65 	 40 	 8 	 12.5 	 5
113 	 69 	 47 	 8 	 17.0 	 3
100 	 63 	 42 	 7 	 13.5 	 15
101 	 62 	 43 	 6 	 12.0 	 15
115 	 77 	 44 	 7 	 12.0 	 10
117 	 80 	 44 	 13 	 10.5 	 10
105 	 60 	 43 	 6 	 17.0 	 5
185 	 90 	 54 	 13 	 7.5 	 7
80 	 58 	 38 	 7 	 13.5 	 5
136 	 78 	 46 	 10 	 12.5 	 5
80 	 60 	 45 	 6 	 13.5 	 5
105 	 76 	 40 	 11 	 12.7 	 5
108 	 75 	 54 	 9 	 17.0 	 5
93 	 61 	 43 	 6 	 14.5 	 7
89 	 60 	 43 	 6 	 15.5 	 5
156 	 79 	 54 	 8 	 9.0 	 10
156 	 90 	 51 	 13 	 10.0 	 5
145 	 85 	 58 	 8 	 12.0 	 4
90 	 60 	 38 	 8 	 12.0 	 10
110 	 75 	 43 	 10 	 12.7 	 5
105 	 73 	 45 	 8 	 11.0 	 10
78 	 55 	 37 	 6 	 11.5 	 2
155 	 64 	 36 	 8 	 8.0 	 7
123 	 75 	 45 	 10 	 12.7 	 10
175 	 70 	 40 	 8 	 3.0 	 5
120 	 74 	 44 	 10 	 12.7 	 10
90 	 59 	 45 	 6 	 15.5 	 5
145 	 78 	 47 	 8 	 11.0 	 8
330 	 104 	 60 	 11 	 10.5 	 7
88 	 60 	 42 	 6 	 11.0 	 10
113 	 85 	 46 	 10 	 12.0 	 15
120 	 77 	 43 	 8 	 10.5 	 10
220 	 148 	 85 	 14 	 14.5 	 7
160 	 85 	 56 	 12 	 6.5 	 10
100 	 80 	 51 	 10 	 13.5 	 10
125 	 93 	 66 	 9 	 6.0 	 5
96 	 60 	 45 	 6 	 10.5 	 15
135 	 76 	 44 	 10 	 12.7 	 2
118 	 71 	 41 	 8 	 12.0 	 15
52 	 86 	 46 	 9 	 12.0 	 10
125 	 83 	 53 	 10 	 5.0 	 12
149 	 95 	 57 	 8 	 10.5 	 15
77 	 58 	 37 	 5 	 7.0 	 12
96 	 59 	 42 	 6 	 13.5 	 7
163 	 72 	 43 	 9 	 7.0 	 10
112 	 75 	 42 	 10 	 12.0 	 5
97 	 55 	 35 	 6 	 9.0 	 7
104 	 84 	 52 	 11 	 13.0 	 5
165 	 82 	 54 	 10 	 6.0 	 5
117 	 80 	 53 	 8 	 11.5 	 10
125 	 66 	 44 	 9 	 12.5 	 15
107 	 57 	 41 	 6 	 12.5 	 10
114 	 83 	 46 	 12 	 7.0 	 10
130 	 70 	 45 	 9 	 10.5 	 15
170 	 92 	 62 	 18 	 6.0 	 7
169 	 95 	 58 	 14 	 9.0 	 7
85 	 61 	 43 	 6 	 12.0 	 15
168 	 84 	 54 	 8 	 7.5 	 10
122 	 75 	 46 	 11 	 13.5 	 15
150 	 85 	 61 	 8 	 12.0 	 7
120 	 74 	 53 	 8 	 10.5 	 10
170 	 76 	 50 	 10 	 5.0 	 5
87 	 58 	 37 	 7 	 13.5 	 15
112 	 65 	 44 	 9 	 13.5 	 1
299 	 100 	 75 	 12 	 6.5 	 5
80 	 54 	 37 	 6 	 12.0 	 7
129 	 79 	 47 	 8 	 10.5 	 15
85 	 56 	 36 	 5 	 10.5 	 15
95 	 67 	 45 	 10 	 12.0 	 10
107 	 75 	 45 	 9 	 13.0 	 15
110 	 68 	 46 	 8 	 13.5 	 10
78 	 57 	 37 	 6 	 13.5 	 10
125 	 64 	 43 	 7 	 4.5 	 10
110 	 79 	 46 	 10 	 13.0 	 5
112 	 79 	 45 	 8 	 11.5 	 2
70 	 58 	 41 	 6 	 14.5 	 10
117 	 75 	 42 	 10 	 12.0 	 5
103 	 78 	 54 	 11 	 12.0 	 15
147 	 65 	 46 	 8 	 3.0 	 10
105 	 74 	 45 	 10 	 13.0 	 10
156 	 70 	 48 	 7 	 9.0 	 2
72 	 50 	 34 	 7 	 17.0 	 10
130 	 74 	 45 	 10 	 12.0 	 1
145 	 75 	 46 	 10 	 9.0 	 15
110 	 77 	 46 	 10 	 12.7 	 7
81 	 59 	 42 	 6 	 12.0 	 10
105 	 75 	 45 	 10 	 17.0 	 7
185 	 66 	 44 	 6 	 9.0 	 3
84 	 58 	 43 	 6 	 14.5 	 5
87 	 58 	 44 	 5 	 10.5 	 5
140 	 73 	 44 	 10 	 10.5 	 5
128 	 72 	 53 	 8 	 3.0 	 10
95 	 66 	 44 	 10 	 14.5 	 7
140 	 99 	 51 	 12 	 10.5 	 1
145 	 94 	 50 	 12 	 17.0 	 10
99 	 62 	 39 	 8 	 17.0 	 10
164 	 90 	 52 	 13 	 10.0 	 3
114 	 77 	 45 	 10 	 12.0 	 10
140 	 67 	 46 	 8 	 8.0 	 5
167 	 113 	 64 	 13 	 14.5 	 5
94 	 61 	 44 	 6 	 12.5 	 3
133 	 80 	 48 	 10 	 10.5 	 10
102 	 65 	 44 	 7 	 15.5 	 5
105 	 65 	 47 	 9 	 12.5 	 5
144 	 80 	 51 	 10 	 13.5 	 10
92 	 59 	 41 	 6 	 11.0 	 10
112 	 65 	 40 	 8 	 17.0 	 5
144 	 80 	 48 	 13 	 15.5 	 10
105 	 79 	 52 	 10 	 14.5 	 10
190 	 100 	 50 	 16 	 7.0 	 10
140 	 68 	 47 	 8 	 9.0 	 5
96 	 60 	 43 	 6 	 12.0 	 15
210 	 94 	 59 	 11 	 12.7 	 2
125 	 80 	 47 	 10 	 12.0 	 15
85 	 59 	 40 	 5 	 12.5 	 5
170 	 65 	 45 	 7 	 7.5 	 2
155 	 60 	 40 	 8 	 7.5 	 5
117 	 82 	 44 	 10 	 13.0 	 2
112 	 79 	 47 	 10 	 17.0 	 10
170 	 89 	 51 	 12 	 12.7 	 6
94 	 60 	 44 	 6 	 15.5 	 5
108 	 56 	 41 	 6 	 3.5 	 5
130 	 72 	 45 	 10 	 11.5 	 10
145 	 81 	 43 	 10 	 17.0 	 3
140 	 81 	 50 	 13 	 15.5 	 2
370 	 111 	 60 	 13 	 8.0 	 5
85 	 55 	 41 	 5 	 11.0 	 5
140 	 66 	 47 	 6 	 4.5 	 2
460 	 153 	 84 	 18 	 9.0 	 5
193 	 78 	 55 	 8 	 7.5 	 10
100 	 77 	 50 	 6 	 3.5 	 3
150 	 78 	 45 	 10 	 14.5 	 10
145 	 81 	 46 	 10 	 15.5 	 5
125 	 77 	 46 	 10 	 10.5 	 15
140 	 75 	 40 	 11 	 13.0 	 5
140 	 74 	 53 	 8 	 11.0 	 5
125 	 77 	 44 	 10 	 14.5 	 7
97 	 55 	 35 	 6 	 9.0 	 10
100 	 60 	 43 	 7 	 12.5 	 5
104 	 77 	 45 	 10 	 12.7 	 15
110 	 68 	 45 	 6 	 12.5 	 10
128 	 68 	 50 	 9 	 12.5 	 5
150 	 92 	 69 	 8 	 4.5 	 10
108 	 67 	 45 	 8 	 14.5 	 5
83 	 61 	 38 	 6 	 13.0 	 10
192 	 123 	 68 	 16 	 14.5 	 10
115 	 71 	 42 	 10 	 12.0 	 5
160 	 73 	 41 	 8 	 7.0 	 5
119 	 80 	 45 	 13 	 14.5 	 5
95 	 73 	 43 	 11 	 12.7 	 10
155 	 85 	 53 	 7 	 4.5 	 10
106 	 70 	 43 	 10 	 12.7 	 10
120 	 60 	 37 	 8 	 12.0 	 8
110 	 80 	 43 	 10 	 12.0 	 15
87 	 58 	 33 	 5 	 11.5 	 5
135 	 74 	 51 	 9 	 10.5 	 7
80 	 51 	 34 	 6 	 13.5 	 15
86 	 56 	 42 	 5 	 6.5 	 5
90 	 51 	 35 	 6 	 7.0 	 3
98 	 63 	 39 	 7 	 14.5 	 10
169 	 80 	 50 	 8 	 10.0 	 5
99 	 57 	 42 	 6 	 6.5 	 7
235 	 101 	 59 	 15 	 8.0 	 7
164 	 79 	 51 	 9 	 7.0 	 5
93 	 62 	 38 	 7 	 17.0 	 3
84 	 57 	 42 	 6 	 7.5 	 5
100 	 65 	 41 	 8 	 14.5 	 5
152 	 108 	 56 	 15 	 11.0 	 5
117 	 78 	 45 	 11 	 13.0 	 10
110 	 75 	 43 	 10 	 13.5 	 15
107 	 66 	 42 	 9 	 8.0 	 7
117 	 77 	 44 	 10 	 17.0 	 3
126 	 79 	 44 	 13 	 10.5 	 10
120 	 66 	 43 	 10 	 9.0 	 10
102 	 74 	 43 	 10 	 17.0 	 12
145 	 85 	 52 	 11 	 14.5 	 5
130 	 70 	 47 	 8 	 9.0 	 5
199 	 127 	 62 	 20 	 13.5 	 10
103 	 69 	 44 	 9 	 14.5 	 10
124 	 80 	 51 	 9 	 6.0 	 10
